구,역명,승강기 개수,에스컬레이터 개수,휠체어리프트 개수,전동휠체어 급속충전기 개수,경도,위도,
노원구,당고개,3,0,0,0,127.079066,37.670272,
노원구,상계,1,0,2,0,127.073572,37.660878,
노원구,노원(4),4,2,0,0,127.061368,37.655128,
도봉구,창동(4),6,2,4,1,127.047731,37.653166,
도봉구,쌍문,3,4,0,1,127.034709,37.648627,
강북구,수유,3,4,0,1,127.025732,37.638052,
강북구,미아,3,6,0,0,127.025983,37.62667,
강북구,미아사거리,2,2,0,1,127.030053,37.613292,
성북구,길음,3,3,0,0,127.025053,37.603407,
성북구,성신여대입구(4),4,3,0,0,127.016403,37.592624,
성북구,한성대입구,3,2,0,1,127.006221,37.588458,
종로구,혜화,4,4,0,1,127.001844,37.582336,
종로구,동대문(4),2,10,1,1,127.009745,37.57142,
중구,동대문역사문화공원(4),1,6,0,1,127.007896,37.565138,
중구,충무로(4),3,22,1,1,126.99428,37.561243,
중구,명동,1,6,0,0,126.986325,37.560989,
중구,회현,2,6,0,0,126.978246,37.558514,
중구,서울역(4),2,4,1,0,126.972559,37.554648,
용산구,숙대입구,3,0,0,1,126.972106,37.54456,
용산구,삼각지(4),5,4,0,1,126.97311,37.534777,
용산구,신용산,4,9,0,0,126.967894,37.52917,
용산구,이촌(4),4,4,1,0,126.974345,37.522272,
동작구,동작(4),2,0,0,1,126.979306,37.502971,
동작구,총신대입구(4),4,4,0,1,126.981989,37.486263,
동작구,사당(4),2,7,1,1,126.981685,37.47653,
서초구,남태령,3,2,0,0,126.989134,37.463873,
강서구,방화,3,0,0,1,126.812741,37.577446,
강서구,개화산,2,0,0,1,126.806171,37.572399,
강서구,김포공항(5),2,8,0,0,126.801058,37.562434,
강서구,송정,4,4,0,0,126.811973,37.561184,
강서구,마곡,4,6,0,0,126.825448,37.560183,
강서구,발산,3,0,0,0,126.837668,37.558598,
강서구,우장산,3,4,0,0,126.836318,37.548768,
강서구,화곡,2,4,0,0,126.840461,37.541513,
강서구,까치산(5),1,12,3,0,126.846683,37.531768,
양천구,신정,2,10,0,0,126.856191,37.524997,
양천구,목동,3,2,0,0,126.864931,37.526065,
양천구,오목교,3,10,0,0,126.875181,37.524496,
영등포구,양평(5),3,8,0,0,126.885778,37.525648,
영등포구,영등포구청(5),3,14,2,0,126.895951,37.52497,
영등포구,영등포시장,3,6,0,0,126.905139,37.522669,
영등포구,신길(5),4,9,2,0,126.917169,37.517122,
영등포구,여의도(5),2,4,0,0,126.924191,37.521624,
영등포구,여의나루,3,11,0,0,126.924191,37.521624,
마포구,마포,2,10,0,0,126.932901,37.527098,
마포구,공덕(5),2,11,0,1,126.9516,37.54402,
마포구,애오개,5,6,0,1,126.9568,37.55374,
서대문구,충정로(5),2,4,0,1,126.9637,37.55997,
서대문구,서대문,3,8,1,1,126.9666,37.56577,
종로구,광화문,2,4,2,1,126.9767,37.57103,
종로구,종로3가(5),1,10,1,0,126.9918,37.57161,
중구,을지로4가(5),1,11,0,0,126.9981,37.56694,
종로구,동대문역사문화공원(5),2,5,2,0,127.0079,37.56514,
성동구,신금호,3,6,0,1,127.0203,37.55455,
성동구,행당,3,8,0,0,127.0295,37.55732,
성동구,왕십리(5),3,8,0,0,127.0377,37.56153,
성동구,마장,3,4,0,1,127.043,37.5661,
성동구,답십리,4,4,1,1,127.0527,37.56675,
동대문구,장한평,3,4,1,1,127.0646,37.56144,
광진구,군자(5),3,4,0,0,127.0795,37.55712,
광진구,아차산,3,8,0,1,127.0898,37.55169,
강동구,천호(5),4,16,0,1,127.1236,37.5384,
강동구,강동,2,10,2,0,127.1325,37.5358,
강동구,길동,3,3,0,0,127.14,37.5378,
강동구,굽은다리,3,4,0,0,127.1429,37.54548,
강동구,명일,3,2,0,0,127.144,37.55137,
강동구,고덕,4,6,0,0,127.1542,37.555,
강동구,상일동,0,2,2,0,127.1664,37.55671,
강동구,둔촌동,3,4,0,1,127.1362,37.52779,
송파구,올림픽공원(5),3,4,0,1,127.1308,37.51608,
송파구,방이,4,2,0,0,127.1261,37.50886,
송파구,오금(5),5,7,0,0,127.12837,37.50245,
송파구,개롱,3,2,0,0,127.1348,37.49808,
송파구,거여,3,2,0,0,127.1442,37.49311,
송파구,마천,1,10,2,1,127.1528,37.49499,
강동구,강일,8,14,0,0,127.175748,37.557651,
은평구,응암,2,4,0,1,126.915577,37.598605,
은평구,역촌,2,6,0,1,126.922744,37.606021,
은평구,불광,3,12,2,0,126.929887,37.610469,
은평구,독바위,2,8,0,1,126.933031,37.618456,
은평구,구산,1,2,1,0,126.91727,37.611377,
은평구,새절,2,4,0,1,126.913629,37.591148,
은평구,증산,3,6,3,1,126.909645,37.583876,
마포구,디지털미디어시티,3,8,0,0,126.900984,37.576646,
마포구,월드컵경기장,3,12,4,1,126.899298,37.569532,
