"기관 명","송신 서버 번호","데이터 번호","모델명","주행상태","시동ON 시각","시동OFF 시각","운행시간","등록일시"
"서울시설공단","20","1","B03","1","902022-02-15_13:15:","102022-02-15_15:48:","350001","2022-02-16 06:58:00.0"
"서울시설공단","20","1","B03","1","102022-02-16_05:40:","892022-02-16_05:40:","110000","2022-02-16 05:42:00.0"
"서울시설공단","20","1","B03","1","002022-02-16_05:32:","892022-02-16_05:39:","530000","2022-02-16 05:40:00.0"
"서울시설공단","20","1","B03","5","702022-02-16_04:57:","852022-02-16_05:29:","940000","2022-02-16 05:31:00.0"
"서울시설공단","20","1","B03","3","902022-02-16_02:38:","692022-02-16_03:32:","500000","2022-02-16 03:33:07.0"
"서울시설공단","20","1","B03","4","702022-02-15_17:40:","632022-02-16_01:28:","560004","2022-02-16 01:29:00.0"
"서울시설공단","20","1","B03","1","802022-02-15_21:04:","952022-02-15_21:04:","010000","2022-02-15 21:05:00.0"
"서울시설공단","20","1","B03","4","202022-02-15_11:30:",".52022-02-15_21:03:","310005","2022-02-15 21:05:00.0"
"서울시설공단","20","1","B03","3","702022-02-15_17:40:",".52022-02-15_21:00:","650002","2022-02-15 21:02:00.0"
"서울시설공단","20","1","B03","2","702022-02-15_11:00:","302022-02-15_21:00:","710006","2022-02-15 21:01:00.0"
"서울시설공단","20","1","B03","3","402022-02-15_11:54:","812022-02-15_21:00:","860005","2022-02-15 21:01:00.0"
"서울시설공단","20","1","B03","8","402022-02-15_20:41:","522022-02-15_20:53:","740000","2022-02-15 20:55:00.0"
"서울시설공단","20","1","B03","4","702022-02-15_19:40:","522022-02-15_20:18:","660000","2022-02-15 20:19:00.0"
"서울시설공단","20","1","B03","8","302022-02-15_12:06:","552022-02-15_20:02:","980004","2022-02-15 20:03:00.0"
"서울시설공단","20","1","B03","0","002022-02-15_18:51:","642022-02-15_19:49:","000000","2022-02-15 19:50:00.0"
"서울시설공단","20","1","B03","0","202022-02-15_19:08:","152022-02-15_19:33:","520000","2022-02-15 19:35:00.0"
"서울시설공단","20","1","B03","7","702022-02-15_18:51:","512022-02-15_19:23:","880000","2022-02-15 19:24:00.0"
"서울시설공단","20","1","B03","3","002022-02-15_15:42:","742022-02-15_19:11:","760002","2022-02-15 19:12:00.0"
"서울시설공단","20","1","B03","7","102022-02-15_14:31:","782022-02-15_19:00:","200002","2022-02-15 19:01:00.0"
"서울시설공단","20","1","B03","2","202022-02-15_17:01:","662022-02-15_19:00:","380001","2022-02-15 19:01:00.0"
"서울시설공단","20","1","B03","3","702022-02-15_15:00:","772022-02-15_18:52:","610002","2022-02-15 18:53:00.0"
"서울시설공단","20","1","B03","8","102022-02-15_11:38:","812022-02-15_18:51:","160004","2022-02-15 18:53:00.0"
"서울시설공단","20","1","B03","7","202022-02-15_14:29:","172022-02-15_18:38:","630002","2022-02-15 18:39:00.0"
"서울시설공단","20","1","B03","0","802022-02-15_14:19:","332022-02-15_17:58:","900002","2022-02-15 17:59:00.0"
"서울시설공단","20","1","B03","7","102022-02-15_17:13:","632022-02-15_17:33:","930000","2022-02-15 17:34:00.0"
"서울시설공단","20","1","B03","7","602022-02-15_14:57:","792022-02-15_17:28:","230001","2022-02-15 17:30:00.0"
"서울시설공단","20","1","B03","3","302022-02-15_14:39:","862022-02-15_17:25:","690001","2022-02-15 17:26:00.0"
"서울시설공단","20","1","B03","7","402022-02-15_11:16:",".62022-02-15_17:23:","590003","2022-02-15 17:25:00.0"
"서울시설공단","20","1","B03","4","102022-02-15_07:39:",".22022-02-15_16:45:","710005","2022-02-15 16:46:00.0"
"서울시설공단","20","1","B03","9","702022-02-15_12:56:","532022-02-15_16:40:","030002","2022-02-15 16:41:00.0"
"서울시설공단","20","1","B03","6","302022-02-15_14:39:","362022-02-15_16:38:","380001","2022-02-15 16:39:00.0"
"서울시설공단","20","1","B03","0","802022-02-15_14:32:","532022-02-15_16:38:","340001","2022-02-15 16:39:00.0"
"서울시설공단","20","1","B03","1","202022-02-15_11:25:","782022-02-15_16:31:","090003","2022-02-15 16:32:00.0"
"서울시설공단","20","1","B03","6","502022-02-15_13:41:","962022-02-15_16:04:","730001","2022-02-15 16:05:00.0"
"서울시설공단","20","1","B03","2","702022-02-15_06:25:","672022-02-15_16:00:","740005","2022-02-15 16:01:00.0"
"서울시설공단","20","1","B03","8","902022-02-15_14:37:","802022-02-15_15:59:","150000","2022-02-15 16:01:00.0"
"서울시설공단","20","1","B03","1","102022-02-15_15:48:","962022-02-15_15:55:","800000","2022-02-15 15:56:00.0"
"서울시설공단","20","1","B03","9","002022-02-15_14:26:","062022-02-15_15:47:","800000","2022-02-15 15:49:00.0"
"서울시설공단","20","1","B03","3","502022-02-15_06:43:","482022-02-15_15:46:","890005","2022-02-15 15:47:00.0"
"서울시설공단","20","1","B03","2","002022-02-15_14:51:","142022-02-15_15:43:","160000","2022-02-15 15:45:00.0"
"서울시설공단","20","1","B03","8","902022-02-15_11:35:","232022-02-15_15:35:","670002","2022-02-15 15:36:00.0"
"서울시설공단","20","1","B03","9","302022-02-15_15:18:","962022-02-15_15:20:","340000","2022-02-15 15:21:00.0"
"서울시설공단","20","1","B03","8","502022-02-15_14:40:","932022-02-15_15:04:","000000","2022-02-15 15:05:00.0"
